Watchlist '24 Hour Trading'

24 Hour Trading
Symbol,myRange,Market Cap,Volume,Last
SPCX,16.55,"1,754,627 M","242,130,745",133.11
MSTU,18.18,343 M,"222,870,841",1.995
TTD,13.56,"6,487 M","133,339,609",13.80
NVDA,1.86,"5,424,535 M","105,669,440",223.96
TLT,0.45,"40,892 M","96,129,996",82.76
TSLL,7.73,"3,279 M","92,977,941",8.11
PLTR,7.78,"413,350 M","77,579,878",172.01
INTC,5.74,"512,723 M","76,760,636",101.65
ONDS,6.53,"5,191 M","72,873,426",9.11
SOUN,14.68,"3,494 M","65,224,973",8.02
PATH,6.64,"7,798 M","62,565,541",15.05
SOXL,9.39,"23,906 M","61,350,731",140.25
TQQQ,2.96,"37,384 M","59,409,755",74.47
BITO,1.49,"1,468 M","57,716,998",8.79
SOXS,10.21,"1,453 M","57,604,600",42.08
MARA,12.96,"3,898 M","56,581,459",10.09
IEF,0.28,"47,265 M","55,016,638",93.17
NVD,3.93,49 M,"54,171,937",3.97
SQQQ,3.1,"1,737 M","52,557,919",37.40
CDE,5.17,"17,876 M","51,776,253",17.39
SOFI,2.83,"23,739 M","51,642,406",18.38
DRAM,6.74,"23,770 M","50,283,472",50.60
NU,4.21,"66,854 M","47,671,923",13.84
CIFR,12.42,"7,130 M","45,182,260",17.18
GDX,2.67,"27,430 M","44,624,086",89.89
SPY,0.56,"810,092 M","43,586,333",773.26
PFE,2.72,"152,523 M","42,744,071",26.76
SNAP,2.78,"9,014 M","42,440,155",5.33
RKT,8.76,"38,850 M","42,103,090",13.72
WULF,11.95,"8,522 M","40,854,087",17.08
TSLA,3.88,"1,297,742 M","39,492,345",328.58
DKNG,10.25,"11,922 M","37,778,345",24.03
MUU,14.26,"3,760 M","35,819,833",26.62
IBIT,1.36,"48,373 M","35,087,368",36.80
AAL,3.1,"10,552 M","35,018,758",15.94
T,2.4,"163,018 M","34,887,029",23.79
F,2.4,"55,747 M","34,589,175",13.98
MU,6.82,"991,122 M","34,568,477",877.57
IONQ,11.54,"16,584 M","34,474,354",44.43
AAPL,1.31,"4,572,794 M","34,437,191",313.33
ACHR,5.66,"4,264 M","34,085,478",5.59
AMZN,2.04,"2,960,627 M","33,861,436",274.48
CELH,17.0,"7,027 M","33,655,336",27.77
JOBY,4.56,"8,546 M","33,602,572",8.64
BBAI,7.54,"1,568 M","33,321,742",3.27
UBER,5.88,"153,233 M","33,069,640",75.02
IREN,10.72,"14,735 M","32,417,481",41.23
SMCI,5.59,"20,137 M","32,380,697",31.13
FIG,5.63,"12,414 M","31,623,417",23.29
QQQ,0.99,"480,851 M","31,070,371",723.03
GRAB,1.37,"14,929 M","30,881,249",3.66
SMR,7.05,"4,030 M","30,292,690",9.82
RGTI,9.42,"5,988 M","30,022,250",17.94
BMNR,6.45,"11,353 M","29,938,644",18.82
KORU,13.77,"1,358 M","29,245,883",17.36
CONL,13.3,433 M,"29,242,994",4.38
MSTR,9.02,"38,426 M","29,002,673",100.01
MSFT,1.29,"3,712,698 M","28,846,235",499.99
