Watchlist 'testOvernight'

testOvernight
Symbol,Market Cap,OV_DECISION,Volume,OV_FINAL,Last
ACGL,"33,524 M",0.0,"1,264,679",300.0,98.245
ADM,"38,793 M",1427.0,"5,510,298",2499.0,80.49
AKAM,"16,908 M",27566.0,"6,105,713",30954.0,117.65
ALB,"15,483 M",11935.0,"2,424,764",12483.0,131.21
APD,"68,627 M",418.0,"851,867",418.0,308.18
BITX,874 M,461757.0,"7,409,325",585621.0,12.02
BNDW,"1,887 M",0.0,"163,284",400.0,67.47
BWA,"14,110 M",716.0,"3,361,966",716.0,69.28
CBRE,"41,681 M",137.0,"1,716,800",137.0,143.94
CGCB,"5,763 M",0.0,"757,519",0.0,25.81
CGIE,"2,458 M",0.0,"307,128",0.0,38.11
CHD,"24,503 M",0.0,"1,761,318",0.0,103.30
CHWY,"9,249 M",3324.0,"6,821,985",3824.0,22.59
CURE,190 M,184.0,"77,230",184.0,131.19
DRI,"24,866 M",0.0,"890,467",0.0,217.97
DUST,52 M,109421.0,"1,100,314",123698.0,41.13
EW,"53,046 M",0.0,"4,443,994",0.0,92.03
EZU,"9,875 M",0.0,"555,213",0.0,71.30
FTSM,"6,524 M",0.0,"669,937",0.0,59.77
HAL,"28,027 M",9361.0,"9,519,470",9461.0,33.64
HD,"349,769 M",1645.0,"3,124,809",1645.0,350.78
HSY,"36,719 M",639.0,"1,375,375",839.0,182.75
IBTH,"2,285 M",145.0,"280,305",945.0,22.34
IGV,"14,738 M",80954.0,"9,120,533",81494.0,105.01
ILF,"3,849 M",4104.0,"1,292,781",4104.0,34.52
IONQ,"17,230 M",524907.0,"17,017,392",541644.0,42.53
IOO,"9,487 M",0.0,"248,347",0.0,145.84
KO,"373,762 M",56469.0,"13,710,831",64970.0,86.87
LEN,"20,621 M",457.0,"1,644,867",457.0,85.60
LVHI,"5,597 M",2050.0,"972,658",2450.0,42.95
MHK,"9,189 M",150.0,"1,022,019",loading,135.65
MP,"9,735 M",237813.0,"10,632,653",257495.0,54.66
MUST,598 M,0.0,"185,559",0.0,20.42
NOW,"131,755 M",201928.0,"17,216,070",207616.0,127.44
NUBD,464 M,0.0,"28,265",0.0,21.755
NWS,"17,570 M",6579.0,"752,278",6579.0,32.50
NXPI,"58,863 M",9380.0,"3,285,192",9380.0,233.43
OKTA,"26,205 M",1232.0,"2,440,600",1232.0,150.77
PPLT,"2,048 M",69766.0,"1,678,999",70666.0,15.91
PSX,"85,997 M",140.0,"3,081,314",340.0,215.52
QDTE,970 M,9273.0,"378,585",9873.0,29.65
SPXL,"7,227 M",41407.0,"1,238,562",48991.0,296.18
SYF,"25,441 M",135.0,"2,813,885",135.0,78.19
SYK,"132,643 M",1993.0,"1,660,210",1993.0,345.81
TBF,107 M,10000.0,"224,204",10000.0,25.48
TER,"57,080 M",13722.0,"2,377,231",14133.0,365.10
UNH,"371,195 M",10314.0,"3,182,188",11249.0,408.74
URTH,"8,341 M",0.0,"875,458",264.0,210.11
VICI,"28,705 M",9826.0,"10,499,673",9926.0,26.07
VRT,"103,985 M",31598.0,"2,859,542",38265.0,270.10
