Watchlist 'testOvernight'

testOvernight
Symbol,myRange,Market Cap,OV_DECISION,Volume,OV_FINAL,Last
AACG,3.5714,38 M,0.0,"3,208",0.0,.8700
AAME,5.52,30 M,0.0,"32,858",0.0,1.46
ABLV,11.2407,40 M,3.0,"30,250",3.0,.8017
ABTS,8.73,3.7 M,438.0,"31,979",438.0,1.26
ABVC,15.73,25 M,0.0,"174,958",0.0,.9501
ACCS,3.85,25 M,0.0,"7,674",0.0,6.50
ACON,5.73,5.8 M,0.0,"43,506",0.0,2.36
ACTU,14.0,24 M,1291.0,"215,472",1291.0,1.020
ACXP,2.67,6.6 M,4581.0,"75,660",4581.0,1.53
ADGM,15.9091,17 M,58927.0,"1,443,578",59904.0,.7442
ADIL,11.83,9.2 M,0.0,"53,256",0.0,4.21
ADVB,33.15,13 M,228227.0,"598,232",229117.0,7.91
ADXN,0.0,7.5 M,789.0,"2,107",789.0,5.95
AEON,10.7182,14 M,4350.0,"302,832",5750.0,.2774
AERT,10.0,40 M,3287.0,"44,539",3287.0,7.06
AFJK,2.34,38 M,30.0,"130,095",30.0,11.96
AGIG,7.2256,39 M,34.0,"68,027",34.0,.8754
AGRZ,10.3485,6.2 M,3665.0,"151,654",3665.0,.2850
AHT,3.18,21 M,108.0,"41,739",108.0,3.20
AIDX,8.6207,5.6 M,11400.0,"32,632",11400.0,.4573
AIFA,21.29,13 M,356116.0,"1,137,642",363791.0,2.110000
AIFF,6.09,19 M,1052.0,"49,991",1052.0,1.19
AIHS,10.71,22 M,160.0,"7,213",160.0,1.50
AIM,7.6919,7.3 M,542785.0,"1,868,899",565582.0,.2630
AIMD,13.5,11 M,158.0,"23,486",308.0,1.43
AIOS,5.82,39 M,0.0,"9,375",0.0,12.00
AIRE,11.16,8.2 M,618.0,"43,888",848.0,1.53
AIRI,2.91,13 M,100.0,"8,827",100.0,2.58
AIXC,11.2435,16 M,960.0,"26,356",1060.0,.7893
AKTX,12.57,13 M,1018.0,"25,323",1118.0,7.53
ALAR,7.1,14 M,300.0,"107,957",300.0,1.86
ALLR,5.19,22 M,17314.0,"75,682",17414.0,1.41
ALP,5.2632,4.5 M,117259.0,"863,349",120559.0,.1934
ALZN,5.8,7 M,0.0,"27,729",0.0,1.46
AMBO,12.57,5.3 M,7602.0,"26,797",7602.0,1.84
AMIX,13.35,5 M,21756.0,"516,254",22147.0,9.29
AMOD,6.65,22 M,201.0,"13,437",201.0,4.47
AMS,4.73,10 M,0.0,"9,633",0.0,1.53
AMSS,6.42,13 M,1723.0,"40,581",1723.0,1.13
AMST,7.01,6.5 M,1944.0,"66,225",1944.0,1.0000
ANGH,15.41,33 M,17160.0,"45,662",17160.0,3.67
ANY,7.5,16 M,2427.0,"164,496",4839.0,2.05
APEOF,loading,4.3 M,NaN,775,NaN,.5933
APLM,3.38,39 M,0.0,"4,351",0.0,17.85
APRE,7.3016,8 M,220.0,"30,797",220.0,.6443
APUS,8.98,6.4 M,0.0,"7,663",0.0,4.24
APVO,3.98,5 M,0.0,"14,583",0.0,4.02
AQB,25.89,7.1 M,115755.0,"1,261,023",117760.0,1.3700
AQMS,5.19,9.7 M,2.0,"37,206",2.0,2.73
ARAI,9.3585,14 M,14600.0,"448,698",14600.0,.2714
ARAY,13.5531,35 M,46025.0,"1,064,361",52725.0,.2924
ARBB,0.0,7.8 M,0.0,340,0.0,4.40
ARKR,4.28,21 M,0.0,"1,679",100.0,5.85
ASBP,9.14,10 M,20839.0,"83,473",20839.0,7.79
ASPC,0.0,25 M,0.0,489,0.0,10.56
ASTC,26.41,20 M,4299.0,"346,088",4299.0,9.75
ASTI,6.61,34 M,22961.0,"375,443",28462.0,3.51
ATCH,12.1553,29 M,725242.0,"3,505,320",726242.0,.1929
ATCX,12.14,16 M,0.0,"24,537",0.0,3.14
ATER,6.383,5.2 M,4473.0,"111,031",4473.0,.4800
ATNM,6.3158,24 M,200.0,"177,304",200.0,.7702
ATOS,8.41,24 M,494.0,"69,086",1106.0,2.37
ATXG,20.76,4.8 M,24.0,"32,460",24.0,4.68
AUID,7.1452,10 M,9854.0,"162,524",10054.0,.6180
AUST,9.4,18 M,2600.0,"40,773",2600.0,1.28
