Watchlist 'testOvernight'

testOvernight
Symbol,Market Cap,OV_DECISION,Volume,Last
ZSTK,17 M,0.0,"10,694",1.50
ZJYL,23 M,9338402.0,"20,025,680",2.9200
ZEO,20 M,24731.0,"260,503",.5758
ZDGE,38 M,0.0,"129,931",2.94
ZDAI,15 M,576.0,"23,885",1.8668
ZCMD,7 M,454899.0,"1,787,259",1.14
ZBAO,7.2 M,1035661.0,"5,721,244",.211000
YYGH,3.9 M,93928.0,"554,618",1.21
YXT,34 M,30493.0,"319,968",5.65
YSXT,37 M,32098.0,"99,353",1.15
YQ,23 M,298.0,"13,600",2.40
YOUL,33 M,690.0,"26,087",.4041
YMAT,7.7 M,2668.0,"15,253",1.92
YI,36 M,0.0,"4,786",4.10
YHGJ,9.1 M,0.0,"12,663",3.47
YDKG,6 M,2447.0,"24,265",1.08
YCBD,5.9 M,65488.0,"365,516",.5660
YBZN,34 M,0.0,100,.1864
XWEL,8.1 M,3253.0,"48,236",.9550
XTLB,7.1 M,0.0,"1,650",2.87
XRTX,3.7 M,0.0,"4,768",2.16
XPON,3.4 M,347.0,"13,485",3.55
XOS,37 M,8681.0,"138,513",2.70
XELB,6.4 M,0.0,"66,908",1.05
XCUR,8.7 M,2933.0,"60,019",1.37
XCH,24 M,29648.0,"106,836",.2764
XBP,36 M,0.0,"3,095",3.03
XBIO,7.1 M,1750.0,"31,623",3.09
XAIR,3.7 M,2737.0,"24,706",5.20
WXM,11 M,424.0,"62,273",4.00
WVVI,12 M,0.0,"2,747",2.35
WPRT,36 M,135.0,"21,142",1.88
WOK,5.1 M,21647.0,"196,944",2.09
WLDS,7.8 M,35568.0,"688,122",3.58
WKSP,11 M,10546.0,"182,574",.6930
WKHS,35 M,1000.0,"62,250",3.17
WIMI,25 M,13092.0,"154,402",1.35
WETO,4.1 M,5721.0,"45,853",4.95
WETH,12 M,8782.0,"84,439",1.0000
WCT,3.7 M,0.0,"17,071",.8140
WBUY,4.9 M,4492.0,"41,427",.9001
WAFU,6.4 M,88814.0,"21,497,163",1.45
VYYRF,26 M,0.0,"35,000",.1150
VWAV,35 M,13177.0,"821,392",1.26
VVOS,4.4 M,61525.0,"711,430",.3177
VTSI,34 M,0.0,"43,774",3.05
