Watchlist 'testOvernight'

testOvernight
Symbol,Market Cap,OV_DECISION,OV_FINAL,Volume,Last
ZSTK,17 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"10,694",1.50
ZJYL,23 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"20,025,680",2.9200
ZEO,20 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"260,503",.5758
ZDGE,38 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"129,931",2.94
ZDAI,15 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"23,885",1.8668
ZCMD,7 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"1,787,259",1.14
ZBAO,7.2 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"5,721,244",.211000
YYGH,3.9 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"554,618",1.21
YXT,34 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"319,968",5.65
YSXT,37 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"99,353",1.15
YQ,23 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"13,600",2.40
YOUL,33 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"26,087",.4041
YMAT,7.7 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"15,253",1.92
YI,36 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"4,786",4.10
YHGJ,9.1 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"12,663",3.47
YDKG,6 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"24,265",1.08
YCBD,5.9 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"365,516",.5660
YBZN,34 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,100,.1864
XWEL,8.1 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"48,236",.9550
XTLB,7.1 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"1,650",2.87
XRTX,3.7 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"4,768",2.16
XPON,3.4 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"13,485",3.55
XOS,37 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"138,513",2.70
XELB,6.4 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"66,908",1.05
XCUR,8.7 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"60,019",1.37
XCH,24 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"106,836",.2764
XBP,36 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"3,095",3.03
XBIO,7.1 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"31,623",3.09
XAIR,3.7 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"24,706",5.20
WXM,11 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"62,273",4.00
WVVI,12 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"2,747",2.35
WPRT,36 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"21,142",1.88
WOK,5.1 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"196,944",2.09
WLDS,7.8 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"688,122",3.58
WKSP,11 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"182,574",.6930
WKHS,35 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"62,250",3.17
WIMI,25 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"154,402",1.35
WETO,4.1 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"45,853",4.95
WETH,12 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"84,439",1.0000
WCT,3.7 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"17,071",.8140
WBUY,4.9 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"41,427",.9001
WAFU,6.4 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"21,497,163",1.45
VYYRF,26 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"35,000",.1150
VWAV,35 M,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"821,392",1.26
